method,n_topics,npmi_coherence,topic_diversity,perplexity,explained_variance
LDA,4,0.21186684305575332,0.725,1029.7825904627305,
LDA,5,0.2103108537662995,0.68,925.6291133895121,
LDA,6,0.2390145748732654,0.65,861.4371527362192,
LDA,7,0.21146604957759302,0.6285714285714286,828.8805405013111,
LDA,8,0.24114361732439576,0.6375,759.251701173472,
LSA,4,0.3421055904389245,0.8,,0.04809743559028498
LSA,5,0.31468710086206747,0.68,,0.05874815370684361
LSA,6,0.2946667197123371,0.6833333333333333,,0.06824290477404542
LSA,7,0.29048820644207496,0.6428571428571429,,0.07710721155200069
LSA,8,0.2726895586092585,0.5875,,0.08519787666532715
