method,seed,n_topics,npmi_coherence,topic_diversity,perplexity,explained_variance
LDA,7,6,0.236788,0.650000,877.148718,
LDA,7,8,0.216537,0.625000,822.143370,
LSA,7,4,0.342106,0.800000,,0.048097
LDA,21,6,0.188151,0.700000,829.880635,
LDA,21,8,0.215953,0.637500,741.970413,
LSA,21,4,0.342106,0.800000,,0.048097
LDA,42,6,0.239015,0.650000,861.437153,
LDA,42,8,0.241144,0.637500,759.251701,
LSA,42,4,0.342106,0.800000,,0.048097
LDA,84,6,0.221621,0.650000,855.962983,
LDA,84,8,0.189132,0.637500,785.320165,
LSA,84,4,0.342106,0.800000,,0.048097
LDA,123,6,0.192224,0.733333,865.974953,
LDA,123,8,0.229394,0.650000,794.288306,
LSA,123,4,0.342106,0.800000,,0.048097
