method,topic_id,term_rank,term,weight
LDA,1,1,credit,1716.5879203318893
LDA,1,2,information,905.3004888722352
LDA,1,3,accounts,768.9667801893999
LDA,1,4,report,614.2496755416508
LDA,1,5,file,545.5184120487773
LDA,1,6,reporting,506.82333882451064
LDA,1,7,credit report,463.8852326905863
LDA,1,8,oh,462.5786166099418
LDA,1,9,removed,385.1745956637665
LDA,1,10,credit file,382.62093345369493
LDA,2,1,account,1821.2114565302052
LDA,2,2,balance,1105.0927670672525
LDA,2,3,opened,992.6528973447564
LDA,2,4,acct,690.8097534856225
LDA,2,5,acct opened,555.0143291403051
LDA,2,6,date,520.2508466556679
LDA,2,7,balance account,508.13348658396217
LDA,2,8,charge,488.6671415360458
LDA,2,9,opened balance,481.69582342348235
LDA,2,10,account acct,398.16092266751326
LDA,3,1,report,1363.1961311364664
LDA,3,2,credit,1356.870206217817
LDA,3,3,accounts,1330.9286162779576
LDA,3,4,identity,1011.803053740563
LDA,3,5,fraudulent,881.0374077873261
LDA,3,6,theft,748.6230939021118
LDA,3,7,identity theft,684.3935486599725
LDA,3,8,credit report,631.6924851993125
LDA,3,9,items,618.0440134248807
LDA,3,10,remove,557.1974862938671
LDA,4,1,claim,509.23330816382474
LDA,4,2,reporting,457.3200013581974
LDA,4,3,collection,317.0413122552353
LDA,4,4,debt,285.59293370594173
LDA,4,5,compliance,279.5694409490177
LDA,4,6,alleged,264.84707876391
LDA,4,7,claims,241.10172169453614
LDA,4,8,compliant,196.97253251538183
LDA,4,9,plaintiff,181.00588736917064
LDA,4,10,document,165.6938519772747
LDA,5,1,credit,1657.0837764021228
LDA,5,2,information,1060.8458230068618
LDA,5,3,report,859.0945589535341
LDA,5,4,credit report,704.3486549456973
LDA,5,5,inaccurate,578.9763663764672
LDA,5,6,inaccurate information,448.0366753128584
LDA,5,7,reporting,342.62291535443865
LDA,5,8,letter,338.1221132880073
LDA,5,9,following,313.5694285739209
LDA,5,10,credit information,288.71871503060447
LDA,6,1,credit,5078.423287097602
LDA,6,2,account,3090.6366255819835
LDA,6,3,report,2607.7131047901885
LDA,6,4,credit report,1421.626546871234
LDA,6,5,reporting,1220.6866692419726
LDA,6,6,late,1129.6588594633588
LDA,6,7,accounts,1078.9543646435575
LDA,6,8,payment,1075.7225342120296
LDA,6,9,information,993.8456409199968
LDA,6,10,loan,900.7857057421927
LDA,7,1,consumer,2208.9764885482155
LDA,7,2,information,1187.5432584429361
LDA,7,3,agency,823.2445117342163
LDA,7,4,reporting,789.5672299363766
LDA,7,5,section,740.7204986904735
LDA,7,6,consumer reporting,717.3051999610225
LDA,7,7,block,711.9550304429985
LDA,7,8,reporting agency,655.2275521777425
LDA,7,9,identity,517.3972452892324
LDA,7,10,theft,447.9171195754575
LDA,8,1,information,1740.8833692109392
LDA,8,2,credit,813.1943741079167
LDA,8,3,consumer,718.4073453661449
LDA,8,4,inquiry,709.7908973220933
LDA,8,5,furnisher,698.4971840769061
LDA,8,6,reporting,669.2524070478369
LDA,8,7,section,608.8342278688621
LDA,8,8,accounts,601.7457964021673
LDA,8,9,report,596.8560724439421
LDA,8,10,date,569.2086502172639
LSA,1,1,credit,0.2686786302819244
LSA,1,2,report,0.22538044455065542
LSA,1,3,account,0.21790265596492076
LSA,1,4,accounts,0.21324858698096905
LSA,1,5,credit report,0.17740885344608
LSA,1,6,information,0.15810287222908437
LSA,1,7,reporting,0.1491983282119865
LSA,1,8,fraudulent,0.11894494686698644
LSA,1,9,identity,0.11792287645953174
LSA,1,10,remove,0.11216214440210308
LSA,2,1,acct opened,0.19830248454014154
LSA,2,2,acct,0.18683052848154388
LSA,2,3,account acct,0.1694950593636243
LSA,2,4,opened balance,0.1667892180344214
LSA,2,5,balance account,0.16000720704310742
LSA,2,6,charge,0.14840352739806734
LSA,2,7,opened,0.11912561897360388
LSA,2,8,balance,0.10595301461240907
LSA,2,9,writing,0.10163980349978262
LSA,2,10,theft did,0.09866695164133903
LSA,3,1,accounts,0.2912867005634067
LSA,3,2,identity,0.1881050879595184
LSA,3,3,items,0.16307802327864976
LSA,3,4,theft,0.16004333212424934
LSA,3,5,identity theft,0.15669094264599637
LSA,3,6,pulled,0.15481645009617045
LSA,3,7,fraudulent,0.14392579012684442
LSA,3,8,unknown,0.14130013934186064
LSA,3,9,pulled credit,0.1308418936440284
LSA,3,10,remove,0.11977552225398382
LSA,4,1,theft,0.18773174437876688
LSA,4,2,identity theft,0.18104606706115864
LSA,4,3,identity,0.1473202824270817
LSA,4,4,information,0.1385654755097577
LSA,4,5,victim,0.13410505271661896
LSA,4,6,victim identity,0.11959697894567627
LSA,4,7,block,0.10492608426425594
LSA,4,8,consumer,0.10397031937151649
LSA,4,9,section,0.0899315601314083
LSA,4,10,following,0.0883663641504677
